uid,d,t,x,y,combined_xy
355,0,26,115,103,20514
355,0,29,115,103,20514
355,0,32,116,103,20515
355,0,33,115,103,20514
355,0,34,116,103,20515
355,0,35,115,103,20514
355,0,36,116,103,20515
355,0,38,116,103,20515
355,0,39,115,103,20514
355,0,40,116,103,20515
355,0,41,118,88,17517
355,0,42,123,85,16922
355,0,43,127,80,15926
355,0,44,127,80,15926
355,0,46,127,80,15926
355,1,5,127,79,15726
355,1,6,127,80,15926
355,1,8,127,79,15726
355,1,9,116,101,20115
355,1,10,116,104,20715
355,1,16,116,103,20515
355,1,18,115,103,20514
355,1,19,115,103,20514
355,1,20,115,103,20514
355,1,21,116,98,19515
355,1,22,107,78,15506
355,1,23,102,82,16301
355,1,24,108,100,19907
355,1,25,118,103,20517
355,1,26,118,102,20317
355,1,41,116,94,18715
355,1,42,118,88,17517
355,1,44,127,79,15726
355,1,45,163,100,19962
355,2,1,127,80,15926
355,2,2,127,80,15926
355,2,3,163,100,19962
355,2,5,127,80,15926
355,2,6,127,80,15926
355,2,8,128,80,15927
355,2,10,127,80,15926
355,2,11,128,80,15927
355,2,14,127,80,15926
355,2,15,128,81,16127
355,2,17,128,80,15927
355,2,19,128,80,15927
355,2,20,124,87,17323
355,2,21,119,98,19518
355,2,22,116,101,20115
355,2,38,116,103,20515
355,2,40,116,103,20515
355,2,41,117,97,19316
355,2,42,118,87,17317
355,2,43,127,80,15926
355,2,44,128,80,15927
355,2,47,163,100,19962
355,3,0,163,100,19962
355,3,1,127,80,15926
355,3,4,127,80,15926
355,3,7,127,80,15926
355,3,8,127,79,15726
355,3,10,128,80,15927
355,3,14,127,80,15926
355,3,15,117,91,18116
355,3,17,127,82,16326
355,3,18,124,85,16923
355,3,19,117,99,19716
355,3,20,116,104,20715
355,3,21,115,103,20514
355,3,23,116,103,20515
355,3,24,115,103,20514
355,3,25,116,103,20515
355,3,26,115,103,20514
355,3,27,116,103,20515
355,3,28,115,103,20514
355,3,30,115,103,20514
355,3,31,116,103,20515
355,3,32,116,103,20515
355,3,33,115,103,20514
355,3,36,116,103,20515
355,3,41,117,98,19516
355,3,42,119,87,17318
355,3,43,128,80,15927
355,3,44,127,80,15926
355,3,45,163,100,19962
355,3,46,163,100,19962
355,3,47,127,80,15926
355,4,1,163,100,19962
355,4,2,127,80,15926
355,4,3,127,80,15926
366,0,14,91,120,23890
366,0,15,91,117,23290
366,0,16,92,122,24291
366,0,27,87,115,22886
366,0,28,88,116,23087
366,0,34,91,117,23290
366,0,35,91,115,22890
366,0,38,91,116,23090
366,0,39,91,116,23090
366,1,16,91,117,23290
366,1,17,92,118,23491
366,1,18,92,122,24291
366,1,19,91,118,23490
366,1,20,74,109,21673
366,1,21,73,109,21672
366,1,22,74,109,21673
366,1,23,80,113,22479
366,1,24,91,117,23290
366,1,25,92,121,24091
366,1,26,94,116,23093
366,1,27,92,122,24291
366,1,29,91,118,23490
366,1,30,92,121,24091
366,2,13,82,117,23281
366,2,14,76,110,21875
366,2,17,76,110,21875
366,2,19,77,111,22076
366,2,22,77,110,21876
366,2,23,77,110,21876
366,2,24,76,110,21875
366,2,26,76,111,22075
366,2,27,77,111,22076
366,2,28,76,110,21875
366,2,30,77,111,22076
366,2,31,76,110,21875
366,2,32,76,110,21875
366,2,33,77,111,22076
366,2,34,76,112,22275
366,2,35,79,112,22278
366,2,36,92,122,24291
366,2,37,92,122,24291
366,4,2,92,122,24291
366,4,13,90,119,23689
366,4,14,79,111,22078
366,4,15,77,112,22276
366,4,16,76,110,21875
366,4,18,76,111,22075
366,4,21,77,111,22076
366,4,23,76,110,21875
366,4,24,77,110,21876
366,4,25,76,111,22075
366,4,26,76,111,22075
366,4,27,76,111,22075
366,4,28,77,111,22076
366,4,29,76,111,22075
366,4,30,76,111,22075
366,4,34,77,112,22276
366,4,35,90,119,23689
366,4,36,92,122,24291
366,5,15,85,119,23684
366,5,16,76,110,21875
366,5,17,76,111,22075
366,5,23,76,112,22275
366,5,26,76,111,22075
366,5,29,77,111,22076
366,5,31,77,111,22076
366,5,32,76,111,22075
366,5,34,85,113,22484
366,5,35,92,118,23491
366,5,36,91,117,23290
366,5,39,93,118,23492
366,5,40,92,122,24291
366,6,16,88,116,23087
366,6,19,89,117,23288
366,6,20,91,113,22490
366,6,21,91,115,22890
366,6,22,93,118,23492
366,6,23,92,115,22891
366,6,24,92,117,23291
366,6,28,88,117,23287
366,6,29,73,109,21672
366,6,30,74,109,21673
366,6,31,74,109,21673
366,6,32,79,115,22878
366,6,33,91,119,23690
366,6,35,92,121,24091
366,6,37,91,118,23490
366,6,38,94,112,22293
366,6,39,95,114,22694
366,7,14,89,116,23088
366,7,15,91,120,23890
366,7,16,92,122,24291
366,7,28,92,120,23891
366,7,29,92,122,24291
366,7,32,93,118,23492
366,7,33,94,117,23293
366,7,34,92,120,23891
366,8,18,92,121,24091
366,8,19,91,119,23690
366,8,20,80,113,22479
549,0,25,135,111,22134
549,0,42,136,110,21935
549,0,44,135,111,22134
549,1,15,135,111,22134
549,1,18,133,108,21532
549,1,22,135,111,22134
549,1,27,136,110,21935
549,1,32,136,110,21935
549,2,18,136,111,22135
549,2,20,136,110,21935
549,2,21,136,110,21935
549,2,25,135,111,22134
549,2,37,135,110,21934
549,2,39,136,110,21935
549,2,40,136,110,21935
549,3,14,137,109,21736
549,3,16,136,110,21935
549,3,17,135,102,20334
549,3,18,135,77,15334
549,3,19,149,56,11148
549,5,33,135,77,15334
549,5,34,134,77,15333
549,5,35,133,82,16332
549,5,37,135,102,20334
549,5,38,137,105,20936
549,5,39,137,105,20936
549,5,40,135,110,21934
549,5,41,135,110,21934
549,5,43,137,107,21336
549,5,44,136,110,21935
549,5,45,136,110,21935
549,6,11,137,107,21336
549,6,22,137,107,21336
549,6,29,135,111,22134
549,6,32,136,110,21935
549,6,35,137,111,22136
549,6,36,136,110,21935
549,6,37,136,110,21935
549,6,38,137,107,21336
549,6,39,136,110,21935
549,6,40,137,107,21336
549,6,42,136,110,21935
549,6,43,137,111,22136
549,6,44,136,110,21935
549,7,20,137,109,21736
549,7,25,135,111,22134
549,7,37,135,111,22134
549,7,38,135,111,22134
549,7,40,137,105,20936
549,7,42,138,106,21137
549,7,43,137,105,20936
549,7,44,138,106,21137
549,7,45,137,106,21136
549,7,46,137,106,21136
549,8,23,137,107,21336
549,8,24,136,110,21935
549,8,25,135,111,22134
549,8,26,136,111,22135
549,8,38,136,110,21935
549,8,39,136,110,21935
549,8,40,137,111,22136
549,8,43,137,111,22136
549,8,44,136,110,21935
549,9,19,137,109,21736
549,9,20,136,110,21935
549,9,22,137,107,21336
549,9,24,137,107,21336
549,9,25,135,111,22134
549,9,38,136,110,21935
549,9,39,137,111,22136
549,9,40,136,110,21935
549,10,20,138,110,21937
549,10,21,136,108,21535
549,10,22,135,109,21734
549,10,24,135,111,22134
549,10,33,136,110,21935
549,11,10,137,109,21736
549,11,14,136,110,21935
549,11,17,135,110,21934
549,11,22,136,110,21935
549,11,23,135,111,22134
549,11,25,136,110,21935
549,11,26,135,110,21934
549,11,27,136,110,21935
549,11,33,135,111,22134
549,11,43,136,110,21935
549,11,44,136,110,21935
549,12,20,137,109,21736
549,12,24,135,111,22134
549,12,37,136,110,21935
549,13,24,136,110,21935
549,13,25,135,111,22134
549,13,38,136,110,21935
549,13,41,137,109,21736
549,14,21,135,111,22134
549,14,30,135,110,21934
549,14,32,136,110,21935
549,14,34,136,110,21935
549,15,19,135,107,21334
549,15,20,149,103,20548
751,0,0,147,19,3746
751,0,1,147,19,3746
751,0,2,147,19,3746
751,0,3,147,18,3546
751,0,4,149,20,3948
751,0,6,149,20,3948
751,0,9,155,19,3754
751,0,10,150,20,3949
751,0,11,150,20,3949
751,0,13,146,19,3745
751,0,14,150,20,3949
751,0,15,146,19,3745
751,0,16,146,20,3945
751,0,17,150,20,3949
751,0,18,147,20,3946
751,0,19,150,20,3949
751,0,20,150,20,3949
751,0,21,151,22,4350
751,0,22,151,21,4150
751,0,23,150,19,3749
751,0,24,150,19,3749
751,0,25,151,16,3150
751,0,26,152,16,3151
751,0,27,152,15,2951
751,0,28,149,20,3948
751,0,30,150,20,3949
751,0,31,150,20,3949
751,0,32,150,20,3949
751,0,33,146,19,3745
751,0,35,149,20,3948
751,0,36,150,20,3949
751,0,37,149,20,3948
751,0,38,150,21,4149
751,0,39,146,19,3745
751,0,40,150,20,3949
751,0,41,150,20,3949
751,0,42,150,21,4149
751,0,43,149,20,3948
751,0,44,149,20,3948
751,0,45,150,20,3949
751,0,46,149,20,3948
751,0,47,148,19,3747
751,1,0,147,18,3546
751,1,1,149,20,3948
751,1,2,147,19,3746
751,1,4,147,19,3746
751,1,5,149,20,3948
751,1,6,147,19,3746
751,1,7,147,19,3746
751,1,8,150,21,4149
751,1,9,150,20,3949
751,1,10,149,20,3948
751,1,11,149,20,3948
751,1,14,150,20,3949
751,1,15,149,20,3948
751,1,16,150,20,3949
751,1,17,150,20,3949
751,1,18,149,20,3948
751,1,19,146,19,3745
751,1,20,150,20,3949
751,1,21,130,29,5729
751,1,24,138,25,4937
751,1,25,149,20,3948
751,1,26,151,21,4150
751,1,27,150,20,3949
751,1,28,147,20,3946
751,1,29,149,19,3748
751,1,30,151,21,4150
751,1,31,150,19,3749
751,1,32,151,21,4150
751,1,33,150,19,3749
751,1,34,149,20,3948
751,1,35,151,21,4150
751,1,36,149,20,3948
751,1,37,151,21,4150
751,1,38,149,20,3948
751,1,39,153,21,4152
751,1,44,147,19,3746
751,1,45,149,20,3948
751,1,46,149,20,3948
751,1,47,147,18,3546
751,2,2,147,18,3546
751,2,3,149,20,3948
751,2,4,149,20,3948
751,2,8,147,18,3546
751,2,9,151,21,4150
751,2,10,150,19,3749
751,2,11,151,21,4150
751,2,14,149,20,3948
751,2,15,149,20,3948
751,2,16,151,21,4150
751,2,17,149,20,3948
751,2,18,149,20,3948
751,2,19,152,16,3151
751,2,20,146,19,3745
751,2,21,150,20,3949
751,2,22,150,20,3949
751,2,23,150,20,3949
751,2,24,149,20,3948
751,2,25,149,20,3948
786,0,3,97,119,23696
786,0,4,96,118,23495
786,0,5,97,119,23696
786,0,11,96,118,23495
786,0,14,97,119,23696
786,0,15,97,118,23496
786,0,22,98,119,23697
786,0,23,99,119,23698
786,0,24,99,119,23698
786,0,25,97,119,23696
786,0,27,97,119,23696
786,0,28,94,123,24493
786,0,30,90,120,23889
786,0,31,85,120,23884
786,0,32,85,119,23684
786,0,33,87,118,23486
786,0,34,92,120,23891
786,0,35,97,119,23696
786,1,12,97,118,23496
786,1,13,97,118,23496
786,1,21,97,119,23696
786,1,22,97,119,23696
786,1,23,79,113,22478
786,1,25,73,112,22272
786,1,28,87,118,23486
786,1,29,86,119,23685
786,1,30,87,118,23486
786,1,31,87,118,23486
786,1,32,87,118,23486
786,1,33,90,119,23689
786,1,34,97,117,23296
786,1,35,97,118,23496
786,1,36,87,119,23686
786,1,37,96,117,23295
786,1,39,87,119,23686
786,1,45,97,118,23496
786,1,46,97,119,23696
786,2,1,97,119,23696
786,2,2,97,119,23696
786,2,3,97,119,23696
786,2,4,96,117,23295
786,2,5,97,118,23496
786,2,6,97,118,23496
786,2,7,97,118,23496
786,2,8,97,118,23496
786,2,9,97,119,23696
786,2,10,97,118,23496
786,2,11,97,119,23696
786,2,15,92,129,25691
786,2,16,57,174,34656
786,2,17,52,177,35251
786,2,18,68,188,37467
786,2,19,80,200,39879
786,2,20,80,200,39879
786,2,21,65,188,37464
786,2,22,51,176,35050
786,2,26,52,176,35051
786,2,27,53,177,35252
786,2,28,54,176,35053
786,2,29,64,176,35063
786,2,30,59,178,35458
786,2,31,52,177,35251
786,2,35,53,177,35252
786,2,36,61,170,33860
786,2,37,98,118,23497
786,2,38,97,119,23696
786,2,40,97,119,23696
786,2,41,97,119,23696
786,2,43,97,119,23696
786,2,44,97,119,23696
786,3,12,98,120,23897
786,3,17,96,120,23895
786,3,18,90,126,25089
786,3,19,92,123,24491
786,3,20,90,136,27089
786,3,21,84,142,28283
786,3,22,52,176,35051
786,3,29,48,177,35247
786,3,30,40,176,35039
786,3,31,41,169,33640
786,3,32,39,167,33238
786,3,33,46,173,34445
786,3,35,61,177,35260
786,3,36,91,138,27490
786,3,37,97,120,23896
786,3,38,97,119,23696
786,3,39,97,119,23696
786,4,14,96,118,23495
786,4,15,97,119,23696
786,4,16,98,118,23497
786,4,17,97,122,24296
786,4,18,93,129,25692
786,4,19,92,133,26491
786,4,20,88,134,26687
786,4,21,88,133,26487
786,4,22,88,133,26487
786,4,24,88,134,26687
786,4,25,83,132,26282
786,4,26,83,132,26282
786,4,27,83,132,26282
790,0,6,149,82,16348
790,0,7,149,83,16548
790,0,22,145,82,16344
790,0,23,133,82,16332
790,0,24,132,82,16331
790,0,25,132,81,16131
790,0,26,132,81,16131
790,0,28,138,81,16137
790,0,29,145,82,16344
790,0,30,146,86,17145
790,0,32,146,85,16945
790,0,33,146,86,17145
790,0,34,148,84,16747
790,0,35,149,83,16548
790,0,40,149,77,15348
790,0,43,149,78,15548
790,1,13,149,75,14948
790,1,14,158,34,6757
790,1,15,159,33,6558
790,1,21,158,33,6557
790,1,22,159,34,6758
790,1,34,158,33,6557
790,1,35,151,38,7550
790,1,36,148,68,13547
790,1,37,149,83,16548
790,1,39,149,83,16548
790,1,44,149,84,16748
790,2,18,158,34,6757
790,2,32,160,44,8759
790,2,33,160,44,8759
790,2,34,157,50,9956
790,2,35,157,57,11356
790,2,36,149,80,15948
790,2,37,150,82,16349
790,2,38,149,82,16348
790,2,39,150,82,16349
790,3,12,149,82,16348
790,3,13,149,69,13748
790,3,14,161,41,8160
790,3,15,159,34,6758
790,3,17,159,34,6758
790,3,22,159,34,6758
790,3,25,151,77,15350
790,3,26,149,83,16548
790,3,29,146,85,16945
790,3,31,146,86,17145
790,3,34,147,85,16946
790,3,35,149,82,16348
790,3,36,149,83,16548
790,3,39,149,83,16548
790,4,11,150,54,10749
790,4,12,151,39,7750
790,4,18,158,33,6557
790,4,28,158,33,6557
790,4,34,158,48,9557
790,4,35,157,58,11556
790,4,36,151,77,15350
790,4,37,149,82,16348
790,5,9,149,76,15148
790,5,10,149,42,8348
790,5,11,154,37,7353
790,5,18,159,34,6758
790,5,19,158,33,6557
790,5,27,159,34,6758
790,5,29,158,33,6557
790,5,32,157,54,10756
790,5,33,151,77,15350
790,5,34,149,83,16548
790,5,35,148,84,16747
790,5,37,149,83,16548
790,5,39,148,80,15947
790,5,40,149,83,16548
790,5,46,149,82,16348
790,6,19,159,91,18158
790,6,20,176,153,30575
790,6,27,171,120,23970
790,6,28,151,83,16550
790,6,29,149,82,16348
790,7,20,149,82,16348
790,7,21,149,77,15348
790,7,23,149,79,15748
790,7,24,147,88,17546
790,7,25,146,86,17145
790,7,26,145,83,16544
790,7,27,146,86,17145
790,7,28,146,86,17145
790,7,30,146,86,17145
790,7,31,146,85,16945
790,7,32,146,86,17145
790,7,33,157,82,16356
790,7,34,149,82,16348
790,8,12,149,76,15148
790,8,13,151,63,12550
790,8,14,155,37,7354
790,8,15,158,33,6557
790,8,18,159,34,6758
790,8,19,159,34,6758
790,8,20,159,34,6758
790,8,21,158,33,6557
790,8,25,159,34,6758
886,0,20,71,64,12670
886,0,21,72,64,12671
886,0,22,78,66,13077
886,0,23,77,66,13076
886,0,24,78,70,13877
886,0,25,81,86,17080
886,0,26,82,87,17281
886,0,36,79,86,17078
886,0,37,83,93,18482
886,0,38,81,86,17080
886,1,19,96,86,17095
886,1,20,110,86,17109
886,1,21,106,5,905
886,1,29,122,1,121
886,1,31,122,2,321
886,1,32,112,35,6911
886,1,33,91,67,13290
886,1,34,82,77,15281
886,1,44,81,86,17080
886,1,45,81,86,17080
886,1,46,81,86,17080
886,1,47,81,86,17080
886,2,0,81,86,17080
886,2,1,81,86,17080
886,2,2,81,86,17080
886,2,3,81,86,17080
886,2,5,81,86,17080
886,2,6,81,86,17080
886,2,7,81,86,17080
886,2,8,81,86,17080
886,2,9,81,86,17080
886,2,10,81,86,17080
886,2,11,81,86,17080
886,2,12,81,86,17080
886,2,13,82,83,16481
886,2,14,82,67,13281
886,2,15,82,66,13081
886,2,17,82,67,13281
886,2,21,82,66,13081
886,2,33,82,67,13281
886,2,34,82,66,13081
886,2,35,81,86,17080
886,2,36,81,86,17080
886,3,13,82,82,16281
886,3,14,80,70,13879
886,3,35,81,66,13080
886,3,36,81,66,13080
886,3,37,80,70,13879
886,3,38,81,86,17080
886,3,39,81,88,17480
886,3,40,80,83,16479
886,3,43,81,86,17080
886,3,44,81,87,17280
886,3,45,81,86,17080
886,3,46,81,86,17080
886,3,47,81,86,17080
886,4,0,81,86,17080
886,4,2,81,86,17080
886,4,15,82,67,13281
886,4,37,80,71,14079
886,5,15,82,67,13281
886,5,37,82,81,16081
886,5,38,81,86,17080
886,5,39,82,86,17081
886,5,41,81,86,17080
886,5,43,85,84,16684
886,5,44,81,86,17080
886,5,46,81,87,17280
886,5,47,81,86,17080
886,6,0,81,86,17080
886,6,1,81,87,17280
886,6,2,81,86,17080
886,6,3,81,86,17080
886,6,4,81,86,17080
886,6,6,81,86,17080
886,6,7,81,86,17080
886,6,8,81,86,17080
886,6,11,81,86,17080
886,6,13,82,86,17081
886,6,14,80,67,13279
886,6,37,82,80,15881
886,7,17,81,87,17280
886,7,18,79,89,17678
886,7,26,79,88,17478
886,7,27,80,88,17479
886,7,28,79,89,17678
886,7,29,79,89,17678
886,7,30,79,88,17478
886,7,31,81,86,17080
886,8,24,81,86,17080
886,8,28,82,91,18081
886,8,29,83,93,18482
886,8,34,81,86,17080
886,9,13,82,80,15881
886,9,14,80,67,13279
886,9,37,81,86,17080
886,10,13,82,86,17081
886,10,14,82,67,13281
886,10,35,81,66,13080
886,10,36,81,66,13080
947,0,19,130,79,15729
947,0,21,133,82,16332
947,0,22,132,82,16331
947,0,23,126,80,15925
947,0,35,126,80,15925
947,1,34,126,80,15925
947,1,35,126,80,15925
947,1,36,126,80,15925
947,2,16,126,79,15725
947,2,17,131,75,14930
947,2,18,131,71,14130
947,2,20,126,80,15925
947,2,31,121,83,16520
947,2,33,126,80,15925
947,3,6,126,80,15925
947,3,25,123,80,15922
947,3,26,120,80,15919
947,3,28,126,80,15925
947,3,33,124,79,15723
947,3,34,124,78,15523
947,3,35,126,80,15925
947,4,13,126,74,14725
947,4,14,123,55,10922
947,4,15,103,26,5102
947,4,16,96,20,3895
947,4,17,97,21,4096
947,4,18,96,20,3895
947,4,20,102,25,4901
947,4,21,112,44,8711
947,4,22,121,66,13120
947,4,23,122,70,13921
947,4,24,127,76,15126
947,4,25,132,79,15731
947,4,26,132,78,15531
947,4,27,131,80,15930
947,4,28,132,79,15731
947,4,29,133,78,15532
947,4,30,146,82,16345
947,4,31,145,76,15144
947,4,32,134,66,13133
947,4,33,129,53,10528
947,4,34,128,48,9527
947,4,35,119,35,6918
947,4,36,106,30,5905
947,4,37,96,20,3895
947,4,38,94,25,4893
947,4,39,116,58,11515
947,4,40,121,66,13120
947,4,41,126,80,15925
947,5,13,123,69,13722
947,5,14,115,52,10314
947,5,15,111,43,8510
947,5,16,96,20,3895
947,5,19,96,16,3095
947,5,20,97,12,2296
947,5,21,91,14,2690
947,5,22,91,12,2290
947,5,23,91,16,3090
947,5,24,95,12,2294
947,5,28,92,13,2491
947,5,29,96,20,3895
947,5,31,96,20,3895
947,5,32,116,57,11315
947,5,33,123,75,14922
947,5,34,126,80,15925
947,5,35,126,80,15925
947,6,24,123,78,15522
947,6,25,122,78,15521
947,6,26,126,80,15925
947,6,27,130,79,15729
947,6,28,134,82,16333
947,6,29,126,80,15925
947,6,30,122,78,15521
947,6,31,120,71,14119
947,6,32,120,71,14119
947,6,33,122,77,15321
947,6,34,121,77,15320
947,6,35,121,71,14120
947,6,36,122,77,15321
947,6,37,122,78,15521
947,6,38,131,100,19930
947,6,39,119,72,14318
947,6,40,122,78,15521
947,6,42,127,79,15726
947,6,43,134,82,16333
947,6,44,129,79,15728
947,6,45,126,80,15925
947,6,46,123,79,15722
947,7,16,127,79,15726
947,7,17,123,78,15522
947,7,18,122,77,15321
947,7,19,128,79,15727
947,7,20,135,82,16334
947,7,21,129,79,15728
947,7,22,125,79,15724
947,7,23,124,78,15523
947,7,24,130,79,15729
947,7,25,134,81,16133
947,7,26,131,79,15730
947,7,27,125,78,15524
1191,0,22,117,83,16516
1191,0,23,122,82,16321
1191,0,24,134,81,16133
1191,0,29,133,80,15932
1191,0,30,127,82,16326
1191,0,31,107,82,16306
1191,0,32,106,81,16105
1191,0,37,107,80,15906
1191,0,38,108,80,15907
1191,0,41,108,82,16307
1191,0,42,106,81,16105
1191,1,21,105,88,17504
1191,1,26,107,92,18306
1191,1,27,107,90,17906
1191,1,29,110,83,16509
1191,1,35,106,81,16105
1191,1,36,105,85,16904
1191,1,39,105,83,16504
1191,1,40,106,81,16105
1191,2,13,91,83,16490
1191,2,14,79,89,17678
1191,2,15,79,89,17678
1191,2,16,80,89,17679
1191,2,17,77,90,17876
1191,2,18,73,83,16472
1191,2,19,72,82,16271
1191,2,30,78,88,17477
1191,2,31,79,89,17678
1191,2,32,80,89,17679
1191,2,33,80,89,17679
1191,2,34,80,90,17879
1191,2,35,80,90,17879
1191,2,36,80,89,17679
1191,2,37,96,82,16295
1191,2,38,100,82,16299
1191,2,42,105,83,16504
1191,2,43,106,81,16105
1191,3,12,106,83,16505
1191,3,13,88,84,16687
1191,3,14,82,89,17681
1191,3,15,80,89,17679
1191,3,16,80,89,17679
1191,3,17,89,79,15688
1191,3,18,92,77,15291
1191,3,19,90,74,14689
1191,3,20,91,78,15490
1191,3,21,91,77,15290
1191,3,22,92,77,15291
1191,3,23,91,77,15290
1191,3,24,91,78,15490
1191,3,25,92,77,15291
1191,3,26,92,77,15291
1191,3,27,91,77,15290
1191,3,28,94,75,14893
1191,3,29,94,75,14893
1191,3,30,81,86,17080
1191,3,31,80,89,17679
1191,3,32,80,90,17879
1191,3,33,79,89,17678
1191,3,34,80,89,17679
1191,3,35,80,90,17879
1191,3,36,95,83,16494
1191,3,38,106,83,16505
1191,3,42,107,82,16306
1191,3,43,109,83,16508
1191,3,44,106,81,16105
1191,4,12,102,82,16301
1191,4,13,84,87,17283
1191,4,14,79,89,17678
1191,4,17,94,82,16293
1191,4,19,95,85,16894
1191,4,20,94,82,16293
1191,4,26,94,82,16293
1191,4,29,95,85,16894
1191,4,30,94,82,16293
1191,4,31,94,82,16293
1191,4,34,94,83,16493
1191,4,35,79,89,17678
1191,4,36,79,89,17678
1191,4,37,80,89,17679
1191,4,38,79,89,17678
1191,4,39,89,84,16688
1191,4,40,101,81,16100
1191,4,41,106,81,16105
1191,4,43,109,82,16308
1191,5,12,96,82,16295
1191,5,13,81,88,17480
1191,5,14,80,89,17679
1191,5,15,79,89,17678
1191,5,16,91,84,16690
1191,5,17,109,88,17508
1191,5,18,103,122,24302
1191,8,30,83,159,31682
1191,8,31,90,85,16889
1191,8,32,80,88,17479
1191,8,33,79,89,17678
1191,8,34,80,89,17679
1191,8,35,80,88,17479
1191,8,36,86,84,16685
1191,8,37,106,83,16505
1410,0,0,142,108,21541
1410,0,16,144,114,22743
1410,0,17,144,112,22343
1410,0,18,141,103,20540
1410,0,19,140,96,19139
1410,0,24,140,96,19139
1410,0,25,140,97,19339
1410,0,26,142,104,20741
1410,0,27,142,108,21541
1410,0,33,145,118,23544
1410,0,34,144,120,23943
1410,0,36,144,120,23943
1410,0,37,143,115,22942
1410,0,38,143,109,21742
1410,1,15,142,108,21541
1410,1,17,138,113,22537
1410,1,18,142,108,21541
1410,1,19,142,108,21541
1410,1,20,90,124,24689
1410,1,21,142,108,21541
1410,1,22,90,124,24689
1410,1,23,90,124,24689
1410,1,24,140,107,21339
1410,1,25,119,123,24518
1410,1,26,137,111,22136
1410,1,27,144,109,21743
1410,1,28,142,108,21541
1410,1,34,141,109,21740
1410,1,35,142,108,21541
1410,1,38,140,101,20139
1410,1,39,142,108,21541
1410,1,40,122,81,16121
1410,1,41,122,81,16121
1410,1,42,122,81,16121
1410,1,43,122,81,16121
1410,1,44,142,108,21541
1410,1,45,142,108,21541
1410,2,1,142,108,21541
1410,2,2,122,81,16121
1410,2,3,142,108,21541
1410,2,4,142,108,21541
1410,2,5,122,81,16121
1410,2,6,135,78,15534
1410,2,7,142,108,21541
1410,2,15,141,108,21540
1410,2,18,142,108,21541
1410,2,19,142,108,21541
1410,2,20,142,108,21541
1410,2,21,142,108,21541
1410,2,22,122,81,16121
1410,2,23,142,108,21541
1410,2,24,142,108,21541
1410,2,25,122,81,16121
1410,2,26,122,81,16121
1410,2,27,124,85,16923
1410,2,28,142,108,21541
1410,2,29,142,108,21541
1410,2,30,145,120,23944
1410,2,31,142,116,23141
1410,2,32,142,108,21541
1410,2,33,141,108,21540
1410,2,34,142,108,21541
